rank,ticker,price,score,composite_score,strong_close_pts,close_position_pct,volume_pts,volume_vs_avg,base_breakout_pts,base_range_pct,rs_pts,rs_edge_pct,room_pts,resistance_clearance_pct
1,SONACOMS.NS,763.75,10,70.5,2,92.0,2,3.65,2,18.3,2,32.5,2,0.0
2,TVSMOTOR.NS,4208.4,10,62.9,2,92.9,2,2.53,2,17.9,2,19.8,2,0.0
3,EXIDEIND.NS,452.7,9,71.6,1,72.3,2,7.24,2,16.4,2,26.1,2,0.0
4,EICHERMOT.NS,7912.5,9,64.8,2,91.2,2,2.54,2,10.8,1,7.4,2,0.0
5,CREDITACC.NS,1614.0,9,64.0,2,88.0,1,1.57,2,11.1,2,21.7,2,0.0
6,HEROMOTOCO.NS,5325.0,9,62.7,2,85.2,2,2.09,2,9.1,1,6.1,2,0.0
7,SAGILITY.NS,45.98,9,62.6,2,87.9,2,2.61,2,13.9,1,10.0,2,0.0
8,UNITDSPR.NS,1531.9,9,60.2,2,87.7,1,1.45,2,13.3,2,16.2,2,0.0
9,BALKRISIND.NS,2306.9,8,70.0,1,77.3,2,23.6,2,11.9,1,4.2,2,0.0
10,REDINGTON.NS,310.95,8,68.3,0,9.8,2,11.42,2,11.0,2,42.7,2,0.0
11,STARHEALTH.NS,610.4,8,66.9,0,44.3,2,3.5,2,4.5,2,16.8,2,0.0
12,NYKAA.NS,333.75,8,65.6,2,94.0,0,1.08,2,9.5,2,25.4,2,0.0
13,APOLLOHOSP.NS,8988.0,8,64.2,2,85.4,0,0.76,2,4.0,2,15.6,2,0.0
14,ENDURANCE.NS,2804.3,8,62.2,1,68.3,1,1.61,2,7.3,2,17.9,2,0.0
15,FSL.NS,299.62,8,60.9,1,83.7,2,2.58,1,28.5,2,38.4,2,0.0
16,PPLPHARMA.NS,196.72,8,56.1,0,42.7,2,3.07,2,17.4,2,22.1,2,0.0
17,SWIGGY.NS,295.91,8,55.2,1,83.3,2,2.59,2,20.4,1,5.6,2,0.0
18,ALKEM.NS,5816.5,7,61.8,1,67.4,1,1.88,2,5.4,1,7.9,2,0.0
19,MARICO.NS,885.35,7,60.3,1,77.5,0,0.96,2,7.0,2,12.8,2,0.0
20,COFORGE.NS,1746.9,7,58.4,1,72.2,1,1.63,1,25.1,2,51.1,2,0.0
21,NESTLEIND.NS,1520.7,7,57.3,1,66.6,1,1.75,2,8.9,1,4.3,2,0.0
22,NH.NS,2080.3,7,55.8,1,72.0,0,0.36,2,9.2,2,15.6,2,0.0
23,IIFL.NS,607.85,7,49.1,0,40.3,1,1.58,2,21.6,2,31.9,2,0.0
24,TECHM.NS,1669.0,7,47.8,0,63.7,1,1.68,2,23.8,2,15.8,2,0.0
25,DIVISLAB.NS,7835.0,7,44.8,0,28.0,1,1.66,2,19.4,2,18.3,2,0.0
26,HAVELLS.NS,1261.7,6,61.7,2,92.6,1,1.54,2,7.0,0,0.3,1,0.1
27,RBLBANK.NS,378.05,6,61.4,1,66.5,2,2.57,0,7.9,2,13.9,1,0.7
28,ARE&M.NS,906.85,6,55.6,1,67.8,1,1.78,2,10.8,0,2.5,2,0.0
29,BHARTIARTL.NS,1956.8,6,55.6,1,66.8,0,0.74,2,7.3,1,7.9,2,0.0
30,SAPPHIRE.NS,195.25,6,53.1,0,29.1,2,2.71,2,8.1,0,0.2,2,0.0
31,M&M.NS,3283.7,6,52.4,1,66.6,1,1.74,2,7.7,1,6.2,1,1.6
32,KALYANKJIL.NS,634.6,6,50.4,0,34.5,1,1.38,1,77.2,2,53.0,2,0.0
33,BAJAJ-AUTO.NS,11432.0,6,46.6,0,57.6,0,0.7,2,18.1,2,13.8,2,0.0
34,LALPATHLAB.NS,1878.8,6,43.9,0,17.8,0,1.18,2,16.0,2,19.4,2,0.0
35,KARURVYSYA.NS,340.3,6,39.3,0,23.6,0,0.48,2,18.0,2,14.7,2,0.0
36,PERSISTENT.NS,5514.7,6,37.3,0,20.2,1,1.54,1,28.0,2,15.0,2,0.0
37,DEVYANI.NS,118.53,5,65.8,0,56.4,2,5.62,2,7.7,0,-3.2,1,0.3
38,ASIANPAINT.NS,2746.2,5,64.4,1,78.7,1,1.93,0,4.7,2,12.6,1,0.4
39,INDHOTEL.NS,749.25,5,63.0,2,92.5,0,0.92,0,6.4,2,16.3,1,0.4
40,TBOTEK.NS,1498.5,5,61.1,0,32.9,2,7.51,0,6.8,2,15.9,1,1.9
41,RECLTD.NS,374.9,5,53.9,0,61.5,0,0.75,2,7.3,1,5.5,2,0.0
42,SUNPHARMA.NS,2001.1,5,52.6,0,44.7,0,0.95,2,7.1,1,9.5,2,0.0
43,LTFOODS.NS,397.1,5,51.2,1,77.8,2,16.03,2,6.0,0,-8.4,0,8.8
44,MARUTI.NS,14188.0,5,49.9,2,85.4,1,1.37,0,8.5,1,3.9,1,2.5
45,MANAPPURAM.NS,368.35,5,45.2,0,11.1,2,2.54,0,17.3,2,20.3,1,0.5
46,ZEEL.NS,112.21,5,44.0,1,79.2,0,0.68,2,14.3,2,23.0,0,3.2
47,ACMESOLAR.NS,360.7,5,43.5,1,67.9,2,2.48,0,10.8,2,20.2,0,9.2
48,PARADEEP.NS,153.38,5,43.5,0,27.9,2,2.62,0,16.4,2,20.8,1,2.1
49,KIMS.NS,807.0,5,42.9,1,66.8,2,2.18,0,8.8,2,17.5,0,5.4
50,HCLTECH.NS,1352.7,5,36.2,0,29.2,0,0.93,1,31.3,2,13.3,2,0.0
51,J&KBANK.NS,153.74,5,33.4,1,78.0,2,2.5,0,24.6,2,16.2,0,25.3
52,MINDACORP.NS,706.9,4,64.7,1,84.2,0,0.59,0,7.9,2,36.4,1,0.4
53,PIDILITIND.NS,1629.9,4,61.7,0,63.9,0,1.21,0,5.5,2,19.7,2,0.0
54,SAILIFE.NS,1315.2,4,59.4,1,74.7,0,0.73,0,8.9,2,21.0,1,0.1
55,IDFCFIRSTB.NS,84.76,4,55.2,1,81.5,0,0.7,0,10.2,2,21.2,1,1.2
56,MEDANTA.NS,1416.4,4,53.5,1,65.2,0,1.08,0,9.8,2,20.3,1,1.2
57,UNOMINDA.NS,1172.8,4,51.0,0,55.1,0,0.76,2,7.4,1,5.3,1,0.4
58,BHARATFORG.NS,2164.7,4,50.3,1,68.5,0,0.29,0,5.2,2,17.1,1,2.0
59,LAURUSLABS.NS,1781.3,4,50.1,0,31.3,0,1.08,0,22.8,2,52.3,2,0.0
60,ETERNAL.NS,310.65,4,49.7,1,77.9,0,1.0,0,22.2,2,22.7,1,0.4
61,RADICO.NS,4366.6,4,49.6,0,16.7,1,1.87,0,14.5,2,28.5,1,0.2
62,BLUEJET.NS,612.45,4,47.5,1,81.0,0,1.18,0,20.9,2,28.1,1,1.9
63,ACE.NS,1057.2,4,46.4,1,68.1,0,0.46,0,11.7,2,18.2,1,1.9
64,SYRMA.NS,1377.8,4,45.8,0,15.7,2,8.38,0,12.7,2,34.7,0,5.4
65,AJANTPHARM.NS,3436.4,4,44.4,0,46.0,2,3.33,0,12.4,2,17.9,0,4.0
66,TATATECH.NS,751.35,4,44.2,0,27.7,1,1.95,0,14.2,2,28.5,1,2.2
67,APLAPOLLO.NS,1893.1,4,43.8,2,92.7,0,0.77,2,4.7,0,0.5,0,4.3
68,DEEPAKFERT.NS,1532.4,4,42.4,0,11.2,2,5.71,0,10.0,2,18.3,0,8.6
69,JSWINFRA.NS,319.05,4,40.3,2,87.3,0,1.2,0,11.8,2,16.2,0,10.1
70,PIIND.NS,2777.3,4,33.1,2,91.2,0,0.38,2,8.5,0,-9.4,0,12.5
71,LTM.NS,4441.4,4,32.5,0,19.4,0,0.98,1,25.0,1,6.5,2,0.0
72,INDUSINDBK.NS,1011.45,4,31.6,2,85.3,0,0.54,0,16.8,2,10.3,0,5.7
73,WIPRO.NS,186.33,4,29.3,0,36.9,2,2.08,2,9.2,0,-6.7,0,11.3
74,SUMICHEM.NS,508.4,4,29.1,2,91.0,0,1.09,0,29.1,2,12.9,0,6.3
75,CHENNPETRO.NS,1238.2,4,25.1,0,33.4,2,2.21,0,20.4,2,10.9,0,5.6
76,ULTRACEMCO.NS,11847.0,3,57.2,2,89.3,0,0.92,0,7.5,0,2.2,1,0.5
77,PNB.NS,111.64,3,52.8,1,83.5,0,0.53,0,11.0,1,5.1,1,0.4
78,TITAN.NS,4850.0,3,50.5,0,59.4,0,0.92,0,13.8,2,10.9,1,0.0
79,GLAND.NS,2517.0,3,50.4,0,25.8,0,1.21,0,10.2,2,38.1,1,1.3
80,SYNGENE.NS,399.2,3,48.8,1,80.5,2,17.12,0,9.1,0,-16.7,0,20.5
81,ICICIBANK.NS,1433.9,3,48.6,0,57.7,0,1.0,0,6.4,2,12.3,1,2.0
82,BAJFINANCE.NS,1053.5,3,47.6,0,55.9,0,1.05,0,9.7,2,11.0,1,1.5
83,TATACAP.NS,360.9,3,47.4,1,75.3,0,0.4,0,8.1,1,9.6,1,2.1
84,RRKABEL.NS,2562.2,3,47.0,0,26.1,0,0.7,0,17.7,2,44.1,1,0.6
85,MOTHERSON.NS,146.72,3,46.4,1,73.8,0,0.43,0,7.9,2,21.7,0,3.2
86,WAAREEENER.NS,2624.9,3,45.0,1,71.8,2,5.49,0,11.7,0,-16.9,0,23.1
87,MAPMYINDIA.NS,1184.75,3,44.5,0,64.8,0,0.35,0,46.3,2,25.6,1,0.0
88,MANKIND.NS,2575.9,3,44.5,0,34.6,0,0.61,0,6.3,2,13.5,1,1.6
89,GLAXO.NS,2610.7,3,44.4,0,40.3,0,0.61,0,11.8,2,13.3,1,0.8
90,MAXHEALTH.NS,1124.8,3,44.2,0,56.6,0,0.62,0,6.8,2,10.8,1,2.5
91,CIPLA.NS,1466.4,3,43.4,0,11.7,0,0.52,0,5.8,2,10.3,1,0.5
92,M&MFIN.NS,392.55,3,42.9,0,38.1,0,1.16,0,27.8,2,31.5,1,0.3
93,ANANTRAJ.NS,609.6,3,42.0,0,52.1,0,1.04,0,20.1,2,18.9,1,1.2
94,ADANIENT.NS,3049.1,3,41.5,1,82.2,0,0.66,0,8.4,2,22.1,0,5.3
95,FEDERALBNK.NS,354.15,3,40.8,0,20.0,0,0.5,0,10.8,2,21.9,1,1.4
96,CHALET.NS,805.0,3,39.4,1,70.7,1,1.96,0,9.0,1,6.1,0,8.3
97,PGEL.NS,613.0,3,39.1,0,41.0,0,0.57,0,16.4,2,14.1,1,1.3
98,IFCI.NS,73.52,3,38.5,1,84.7,0,0.5,0,13.0,2,25.0,0,22.5
99,GODFRYPHLP.NS,2131.8,3,38.2,2,93.4,1,1.6,0,10.6,0,-4.4,0,15.3
100,SAREGAMA.NS,521.4,3,38.2,0,9.7,0,0.2,0,18.6,2,50.5,1,1.7
101,COALINDIA.NS,417.2,3,38.1,2,86.6,1,1.89,0,8.5,0,-13.7,0,15.4
102,AUROPHARMA.NS,1576.3,3,37.8,0,24.5,0,0.58,0,6.4,2,14.0,1,2.8
103,DIXON.NS,14338.0,3,37.8,0,54.3,0,0.7,0,23.6,2,25.1,1,1.8
104,SOLARINDS.NS,18053.0,3,37.3,1,74.7,0,0.64,0,9.6,2,16.3,0,5.4
105,NAUKRI.NS,1244.05,3,36.3,0,27.3,0,0.36,0,28.0,2,27.2,1,0.3
106,BELRISE.NS,232.79,3,36.1,2,88.3,0,0.47,0,10.5,1,7.3,0,6.3
107,DCMSHRIRAM.NS,1055.9,3,35.7,0,62.6,1,1.77,2,4.9,0,-16.2,0,19.4
108,CEMPRO.NS,1358.7,3,34.3,1,76.2,0,1.07,0,35.1,2,41.8,0,20.7
109,LLOYDSME.NS,2015.1,3,33.9,0,32.9,0,0.93,0,19.2,2,11.6,1,1.8
110,BERGEPAINT.NS,521.35,3,33.4,1,66.3,0,0.61,0,10.1,2,10.3,0,5.6
111,LODHA.NS,1287.15,3,32.4,0,12.7,0,1.24,0,40.1,2,38.8,1,2.3
112,GODREJIND.NS,1309.4,3,31.7,1,78.0,0,0.4,0,22.9,2,34.9,0,8.3
113,AFFLE.NS,1622.7,3,31.1,0,15.4,0,0.91,0,18.2,2,13.7,1,1.9
114,CGPOWER.NS,832.6,3,30.4,2,85.3,0,0.93,0,17.7,1,3.2,0,17.3
115,WELCORP.NS,1655.0,3,30.1,0,6.4,0,0.22,0,17.9,2,33.5,1,2.5
116,GODREJPROP.NS,2110.9,3,29.5,0,18.8,0,0.74,0,18.4,2,11.1,1,2.1
117,MPHASIS.NS,2346.7,3,28.8,0,11.4,1,1.7,0,16.5,1,5.3,1,2.8
118,PCBL.NS,328.0,3,27.1,0,6.0,2,8.08,0,23.1,1,5.4,0,11.5
119,MRPL.NS,166.84,3,25.0,0,44.0,2,2.11,0,20.4,1,4.0,0,5.7
120,SONATSOFTW.NS,308.9,3,24.8,0,7.7,0,0.87,0,21.8,2,19.1,1,2.8
121,HEXT.NS,575.55,3,24.7,0,30.6,1,1.95,0,24.9,2,27.4,0,7.4
122,HYUNDAI.NS,2018.2,2,51.1,0,56.3,0,0.61,0,7.0,1,8.8,1,0.6
123,COROMANDEL.NS,2054.2,2,49.2,1,74.0,0,0.28,0,8.4,0,2.2,1,0.9
124,BPCL.NS,315.8,2,47.5,0,53.6,0,0.82,0,6.4,1,4.1,1,1.3
125,CARTRADE.NS,2791.7,2,45.0,0,57.8,0,0.78,0,12.1,2,68.4,0,6.7
126,WHIRLPOOL.NS,805.7,2,44.6,0,52.1,2,5.05,0,7.3,0,-19.6,0,21.5
127,360ONE.NS,1142.9,2,44.5,0,44.6,0,1.1,0,9.0,1,6.6,1,1.6
128,BAJAJFINSV.NS,1909.4,2,44.5,0,41.6,0,0.7,0,9.7,1,7.4,1,1.0
129,MGL.NS,1118.5,2,44.3,0,50.5,2,15.86,0,10.0,0,-2.1,0,11.4
130,SBILIFE.NS,1877.5,2,44.2,0,31.4,1,1.59,0,8.6,0,2.6,1,1.3
131,BHARTIHEXA.NS,1654.0,2,43.7,0,42.8,0,0.39,0,14.9,1,9.8,1,0.0
132,EMCURE.NS,1910.9,2,43.2,0,31.1,0,0.41,0,7.9,1,6.0,1,0.7
133,RAMCOCEM.NS,915.0,2,41.7,0,50.4,2,3.13,0,4.5,0,-1.9,0,4.9
134,INDIACEM.NS,399.4,2,41.0,1,77.8,0,0.64,0,10.5,0,1.2,1,3.0
135,ASTERDM.NS,814.0,2,40.5,0,10.2,0,1.12,0,7.7,1,8.7,1,1.3
136,GAIL.NS,173.64,2,40.1,0,22.5,0,0.64,0,3.5,1,5.0,1,2.1
