ticker,price,score,composite_score,strong_close_pts,close_position_pct,volume_pts,volume_vs_avg,base_breakout_pts,base_range_pct,rs_pts,rs_edge_pct,room_pts,resistance_clearance_pct
COFORGE.NS,1686.0,10,82.9,2,94.6,2,4.8,2,12.4,2,41.4,2,0.0
LAURUSLABS.NS,1758.9,10,72.5,2,94.3,2,2.04,2,18.2,2,60.4,2,0.0
ETERNAL.NS,308.35,10,64.2,2,89.6,2,2.25,2,16.0,2,25.3,2,0.0
RADICO.NS,4289.7,9,75.0,1,77.7,2,4.66,2,11.8,2,26.0,2,0.0
CUB.NS,238.14,9,70.0,1,73.6,2,8.07,2,15.9,2,18.0,2,0.0
IEX.NS,132.11,9,69.8,2,93.5,2,3.23,2,8.5,1,7.6,2,0.0
TITAN.NS,4849.7,9,62.1,2,93.0,1,1.58,2,11.2,2,11.4,2,0.0
TVSMOTOR.NS,3993.5,9,62.0,2,94.7,1,1.78,2,13.9,2,14.8,2,0.0
TECHM.NS,1635.2,9,56.4,1,81.9,2,2.03,2,18.7,2,14.3,2,0.0
RRKABEL.NS,2576.9,8,72.4,0,23.4,2,5.82,2,15.4,2,64.9,2,0.0
LODHA.NS,1301.4,8,70.9,1,83.0,2,4.61,1,34.0,2,45.4,2,0.0
MARICO.NS,883.25,8,65.6,2,89.5,0,1.24,2,5.3,2,14.4,2,0.0
KALYANKJIL.NS,608.35,8,61.9,2,94.2,1,1.63,1,68.0,2,47.8,2,0.0
UNITDSPR.NS,1508.8,8,60.0,2,91.5,0,0.96,2,11.6,2,15.1,2,0.0
SUNPHARMA.NS,1976.7,8,54.0,0,26.2,2,2.01,2,6.2,2,10.0,2,0.0
IDFCFIRSTB.NS,85.75,7,60.9,0,53.5,1,1.95,2,9.1,2,23.6,2,0.0
PPLPHARMA.NS,193.43,7,57.4,1,84.3,0,1.03,2,15.2,2,19.9,2,0.0
MANAPPURAM.NS,361.25,7,56.7,1,78.1,0,0.71,2,14.1,2,23.4,2,0.0
BAJAJFINSV.NS,1927.9,7,55.9,0,58.7,1,1.34,2,9.0,2,10.9,2,0.0
FEDERALBNK.NS,357.25,7,55.9,1,65.5,0,0.5,2,11.4,2,24.9,2,0.0
CONCOR.NS,522.4,7,51.1,1,65.8,2,3.52,2,13.1,1,3.1,1,2.4
BPCL.NS,320.05,6,58.1,1,77.5,0,0.67,2,6.2,1,7.0,2,0.0
PIDILITIND.NS,1619.6,6,57.8,0,41.0,0,1.19,2,4.3,2,19.0,2,0.0
GODREJPROP.NS,2136.6,6,51.4,2,90.9,1,1.34,0,20.9,2,17.4,1,0.8
PERSISTENT.NS,5428.4,6,42.5,0,51.7,1,1.36,2,23.0,2,13.9,1,0.4
