ticker,price,pct_below_52w_high,rs_raw_score,tight_base,base_range_pct,up_down_vol_ratio,eps_growth_pct,sales_growth_pct,fundamentals_pass,rs_rating,final_candidate
KIRLOSENG.NS,2192.2,14.5,1.967,True,17.7,2.61,21.0,20.7,True,98,True
ACUTAAS.NS,3297.7,10.7,1.907,True,13.4,1.5,67.7,59.1,True,97,True
RRKABEL.NS,2576.9,0.0,1.863,True,17.7,2.44,128.6,53.9,True,95,True
LAURUSLABS.NS,1758.9,0.0,1.856,True,21.3,2.08,125.5,29.1,True,94,True
WELCORP.NS,1643.1,2.4,1.793,True,20.2,2.64,198.6,14.9,True,91,True
SYRMA.NS,1306.0,10.0,1.724,True,12.7,2.67,54.4,58.4,True,90,True
ADANIENSOL.NS,1649.5,5.3,1.683,True,17.2,1.65,124.2,42.4,True,88,True
HONASA.NS,452.1,4.7,1.581,True,14.1,6.24,177.0,23.2,True,86,True
HSCL.NS,749.65,6.4,1.494,True,25.0,1.44,26.3,28.0,True,80,True
GRANULES.NS,845.4,6.4,1.487,True,18.2,1.55,59.8,22.0,True,79,True
CAPLIPOINT.NS,2588.3,3.1,1.463,True,8.3,2.79,19.3,19.0,True,77,True
FEDERALBNK.NS,357.25,0.0,1.445,True,10.2,4.82,36.8,21.4,True,75,True
RADICO.NS,4289.7,0.0,1.427,True,14.4,2.48,62.3,19.5,True,74,True
LLOYDSME.NS,1979.1,1.8,1.42,True,18.2,2.11,585.3,405.5,True,73,True
SONACOMS.NS,713.0,2.7,1.406,True,18.3,1.5,44.7,52.4,True,72,True
NYKAA.NS,329.6,0.2,1.39,True,9.5,1.87,286.3,28.4,True,71,True
GLAND.NS,2428.3,4.8,1.382,True,10.2,1.73,96.6,22.3,True,69,True
MOTHERSON.NS,147.86,2.4,1.376,True,7.9,1.09,42.5,16.5,True,67,True
ACMESOLAR.NS,355.5,9.8,1.368,True,10.8,1.98,12.9,12.5,True,65,True
OFSS.NS,11334.0,3.7,1.357,True,12.4,1.07,120.5,68.7,True,64,True
CRAFTSMAN.NS,9290.0,5.2,1.354,True,4.0,1.05,74.4,27.3,True,62,True
VIJAYA.NS,1359.1,3.8,1.353,True,7.7,1.69,38.4,26.6,True,61,True
ANANDRATHI.NS,2037.9,5.1,1.349,True,12.8,1.65,73.8,52.1,True,60,True
NAVINFLUOR.NS,7512.5,4.7,1.344,True,7.0,1.34,123.9,33.8,True,59,True
NAM-INDIA.NS,1150.3,5.6,1.341,True,10.2,0.96,27.2,24.5,True,58,True
KARURVYSYA.NS,338.4,0.4,1.325,True,17.8,2.33,44.9,26.0,True,55,True
CUB.NS,238.14,0.0,1.322,True,19.8,2.05,24.9,23.6,True,53,True
ASTERDM.NS,813.5,1.3,1.315,True,7.7,1.79,77.4,18.2,True,51,True
SOLARINDS.NS,18244.0,4.1,1.313,True,9.6,1.23,70.0,40.9,True,48,True
AIAENG.NS,4603.0,9.4,1.312,True,10.9,2.96,37.9,9.4,True,47,True
EMCURE.NS,1892.2,1.7,1.3,True,7.9,1.43,28.8,16.7,True,46,True
AJANTPHARM.NS,3342.4,6.5,1.297,True,12.4,1.42,18.4,21.5,True,45,True
IPCALAB.NS,1789.0,5.9,1.287,True,17.4,1.81,341.0,6.3,True,42,True
BAJAJ-AUTO.NS,11374.0,0.0,1.283,True,18.1,1.24,45.9,64.0,True,41,True
CCL.NS,1188.2,3.4,1.28,True,5.7,2.77,61.3,13.8,True,40,True
