symbol,probability,grade,entry_trigger,stop_loss,target_1,target_2,target_3,target_4
HAPPSTMNDS,0.4685,B,427.3,403.69,452.17,490,525,557.16
IFGLEXPOR,0.454,B,248.4,229.64,283.28,330,380,420.0
GIPCL,0.4304,C,181.76,174.9,198.49,220,250,260.0
BALUFORGE,0.4156,C,571.04,542.85,621.33,700,775,825.0
FINKURVE,0.4002,C,75.54,69.37,82.98,95,110,120.0
BHAGCHEM,0.3717,C,317.53,296.02,357.32,410,470,525.0
PETRONET,0.3632,C,294.69,285.15,310.67,340,360,370.0
HMAAGRO,0.348,C,27.05,24.93,29.17,35,40,45.0
JINDALSAW,0.343,C,281.56,270.55,309.65,350,390,420.0
ANDHRSUGAR,0.3354,C,107.44,101.06,118.25,140,150,160.0
BTML,0.3348,C,9.17,8.16,10.28,15,20,25.0
IOLCP,0.3132,C,179.96,167.24,209.47,250,290,320.0
BEPL,0.3,C,138.78,132.76,154.31,180,200,220.0
