symbol,probability,grade,entry_distance_pct,entry_trigger,stop_loss,target_1,target_2,target_3,target_4
MRPL,0.5927,B+,0.0267,189.38,180.86,203.45,230.0,250.0,260.0
PINELABS,0.5886,B+,,,,,,,
BHAGYANGR,0.5011,B,0.0106,416.03,393.42,477.58,575.0,650.0,725.0
NYKAA,0.4038,C,0.0166,348.7,337.09,373.66,410.0,450.0,470.0
JSWINFRA,0.2996,C,0.008,344.14,331.42,371.29,410.0,450.0,480.0
SWIGGY,0.2655,C,0.0047,284.07,271.49,302.91,330.0,360.0,380.0
INOXWIND,0.2159,C,0.0176,78.75,75.67,89.7,110.0,120.0,130.0
GPIL,0.2145,C,0.0137,256.51,246.19,281.45,320.0,350.0,380.0
TATASTEEL,0.1978,C,0.01,190.63,183.48,202.71,220.0,240.0,250.0
AASTHA,0.1971,C,,,,,,,
