symbol,probability,grade,entry_trigger,stop_loss,target_1,target_2,target_3,target_4
ELLEN,0.425,C,324.45,301.67,364.92,420,480,525
TMPV,0.3851,C,408.82,397.92,439.75,480,525,575
GSFC,0.3437,C,180.95,176.24,192.31,210,230,240
MAHABANK,0.3248,C,94.69,91.96,103.79,120,130,140
GUJENERGY,0.324,C,424.75,411.05,468.99,550,600,650
EUREKAFORB,0.324,C,542.83,519.39,575.59,625,675,700
JMFINANCIL,0.3059,C,147.49,141.39,157.06,170,190,200
ETERNAL,0.3026,C,320.34,306.27,346.71,390,420,450
ANDHRSUGAR,0.2376,C,107.44,101.34,118.25,140,150,160
DHARMAJ,0.2228,C,298.6,283.5,318.22,350,380,400
IITL,0.2193,C,192.38,176.94,212.71,240,270,290
SCI,0.1928,C,369.49,354.05,410.62,470,525,575
CENTRUM,0.175,C,31.58,29.66,34.36,40,45,50
AFIL,0.1742,C,11.12,10.46,12.1,15,20,25
AEQUS,0.1588,C,274.94,260.95,318.15,380,440,480
NSLNISP,0.1465,C,53.86,52.36,59.5,70,75,85
HONASA,0.0743,C,492.33,471.55,554.69,650,725,800
INDOBORAX,0.0522,C,500.0,455.76,570.36,675,775,850
