symbol,probability,grade,entry_distance_pct,entry_trigger,stop_loss,target_1,target_2,target_3,target_4
IDFCFIRSTB,0.5901,B+,0.0039,86.67,84.14,92.82,110,120,130
ARIHANTCAP,0.5357,B,0.0424,84.97,80.82,91.4,100,110,120
PNB,0.485,B,0.0169,118.44,114.96,124.15,140,150,160
FSL,0.4828,B,0.0048,274.4,258.7,310.31,360,410,450
CANHLIFE,0.3831,C,0.0233,159.12,150.14,168.5,190,200,210
ACMESOLAR,0.3564,C,0.0025,412.32,386.93,456.62,525,600,625
BEPL,0.3552,C,0.0045,128.04,119.54,140.56,160,180,190
AWHCL,0.3348,C,0.0136,384.77,363.83,437.36,525,600,650
BALAJITELE,0.2696,C,0.0024,96.2,90.4,109.81,130,150,160
BANSALWIRE,0.2454,C,0.0329,323.55,309.86,347.91,380,420,440
YESBANK,0.1292,C,0.003,23.2,22.31,24.84,30,35,40
