symbol,probability,grade,entry_trigger,stop_loss,target_1,target_2,target_3,target_4
ANUHPHR,0.544,B,86.98,83.63,91.33,100,110,120
SBFC,0.4835,B,103.58,99.79,109.51,120,130,140
NSLNISP,0.4436,C,53.86,51.4,58.98,70,75,80
AYE,0.4092,C,197.68,185.98,227.25,270,310,340
ASIANHOTNR,0.3593,C,403.36,386.48,436.64,480,550,575
ADANIPOWER,0.2998,C,254.71,247.57,280.05,320,350,380
BLKASHYAP,0.2446,C,62.57,59.26,67.49,75,85,90
TATASTEEL,0.1829,C,224.85,219.06,236.93,260,270,290
TMCV,0.1686,C,488.78,468.67,524.34,575,625,675
AAREYDRUGS,0.1645,C,96.19,89.47,107.53,130,140,150
