symbol,probability,grade,entry_distance_pct,entry_trigger,stop_loss,target_1,target_2,target_3,target_4
PFOCUS,0.6402,B+,0.0112,315.23,295.36,359.96,420,480,525
PPLPHARMA,0.5295,B,0.0036,220.44,210.7,241.15,270,300,320
PWL,0.4573,B,0.0036,130.14,122.41,149.08,180,200,220
BCG,0.3654,C,0.0031,9.65,9.31,11.12,15,20,25
AEGISVOPAK,0.3591,C,0.0517,300.1,283.44,335.19,380,430,470
IDFCFIRSTB,0.3498,C,0.0027,86.67,84.25,92.82,110,120,130
AURUM,0.348,C,0.0237,233.41,222.6,258.85,300,330,360
BAJAJHCARE,0.3377,C,0.0361,340.68,326.57,373.77,420,470,500
ALLTIME,0.3369,C,0.0067,215.43,202.9,236.7,270,300,320
BESTAGRO,0.264,C,0.052,21.24,19.85,23.87,30,35,40
INOXWIND,0.2284,C,0.0417,78.75,75.72,89.7,110,120,130
BANSALWIRE,0.2275,C,0.0206,326.6,316.14,350.96,390,420,450
COALINDIA,0.1983,C,0.0371,434.37,421.99,460.33,500,550,575
ABCAPITAL,0.1746,C,0.0205,411.52,398.35,437.63,480,525,550
