symbol,probability,grade,entry_distance_pct,entry_trigger,stop_loss,target_1,target_2,target_3,target_4
MRPL,0.6583,B+,0.0267,189.38,180.86,203.45,230.0,250.0,260.0
PINELABS,0.5858,B+,,,,,,,
BHAGYANGR,0.522,B,0.0106,416.03,393.42,477.58,575.0,650.0,725.0
NYKAA,0.5198,B,0.0166,348.7,337.09,373.66,410.0,450.0,470.0
PARADEEP,0.5196,B,0.012,159.82,151.16,174.14,200.0,220.0,230.0
BEPL,0.4581,B,0.0391,138.78,131.0,151.3,170.0,190.0,200.0
AYE,0.4464,C,0.031,184.37,170.85,205.96,240.0,270.0,290.0
JSWINFRA,0.3879,C,0.008,344.14,331.42,371.29,410.0,450.0,480.0
SWIGGY,0.3834,C,0.0047,284.07,271.49,302.91,330.0,360.0,380.0
ATLASCYCLE,0.3745,C,0.0371,110.42,103.03,117.81,130.0,140.0,151.06
BAJAJHCARE,0.3442,C,0.0231,340.68,326.33,373.77,420.0,470.0,500.0
NHPC,0.3386,C,0.0087,77.36,75.17,81.5,90.0,95.0,100.0
LTFOODS,0.3324,C,,,,,,,
NUVOCO,0.3106,C,0.0176,340.68,326.31,371.85,420.0,460.0,490.0
BHEL,0.2807,C,0.0072,436.82,419.32,471.88,525.0,575.0,625.0
CASTROLIND,0.2497,C,0.0112,191.28,187.88,195.22,210.0,220.0,230.0
GAIL,0.2385,C,0.0094,176.55,171.72,184.97,200.0,210.0,220.0
SJVN,0.203,C,0.0552,70.57,68.75,75.79,85.0,90.0,95.0
BALAJITELE,0.1749,C,0.0121,95.15,89.54,108.76,130.0,150.0,160.0
