symbol,probability,grade,entry_trigger,stop_loss,target_1,target_2,target_3,target_4
MRPL,0.66,A,196.03,184.33,210.32,230,250,270
INDIQUBE,0.5691,B+,191.38,180.1,207.66,230,260,270
WELSPUNLIV,0.5069,B,183.27,171.76,203.89,240,260,280
AEROFLEX,0.494,B,522.94,489.92,605.0,725,825,925
ICIL,0.4872,B,464.73,428.85,531.89,625,725,800
BHAGYANGR,0.4872,B,433.16,402.95,514.03,625,750,825
GLOBAL,0.4703,B,122.14,114.56,133.1,150,170,180
HARSHA,0.3636,C,469.94,447.65,512.29,575,650,675
GUJTHEM,0.3611,C,442.08,421.51,500.87,600,675,725
DCXINDIA,0.3463,C,226.41,217.79,246.17,280,300,320
LTF,0.3355,C,339.28,326.06,367.49,410,450,480
GROWW,0.3215,C,227.65,220.85,248.91,280,310,330
GHCLTEXTIL,0.3169,C,128.81,119.86,146.02,170,200,210
