symbol,probability,grade,entry_distance_pct,entry_trigger,stop_loss,target_1,target_2,target_3,target_4
PNB,0.3536,C,0.0123,118.44,115.06,123.4,140,150,160
BPCL,0.3285,C,0.0092,316.48,305.68,329.07,350,370,390
BANSALWIRE,0.3246,C,0.0263,323.55,308.53,344.68,380,420,440
FIRSTCRY,0.287,C,0.0473,183.37,171.64,202.97,240,270,290
RHIM,0.2784,C,0.0093,382.71,368.22,408.67,460,500,525
APTECHT,0.2737,C,0.0204,93.42,88.37,103.56,120,140,150
JPPOWER,0.2712,C,0.0618,17.17,16.29,19.37,25,30,35
YESBANK,0.2667,C,0.0172,23.6,22.78,25.02,30,35,40
IOC,0.2535,C,0.0263,141.43,137.88,145.86,160,170,180
BAJAJHCARE,0.2309,C,0.0112,339.88,323.65,368.59,420,470,500
BALAJITELE,0.2131,C,0.0209,95.15,88.89,106.96,130,150,160
